678195,6;OD 300.000,01 EUR DO 500.000,00 EUR;BEGRAD d.d. - v stečaju Ni blokiran;46871535;9;0
473125;OD 300.000,01 EUR DO 500.000,00 EUR;PRIMORJE d.d. - v stečaju Ni blokiran;95666222;13;0
457918,29;OD 500.000,01 EUR DO 1.000.000,00 EUR;SOLCEL, d.o.o. - v stečaju Ni blokiran;91440904;9;0
170084,19;OD 500.000,01 EUR DO 1.000.000,00 EUR;NextLevel, d.o.o. Ni blokiran;24280151;4;0
93086;OD 10.000,01 EUR DO 30.000,00 EUR;MICROSOFT d.o.o., Ljubljana Ni blokiran;63458756;2;0
79984,96;OD 50.000,01 EUR DO 100.000,00 EUR;INKAING d.o.o. - v stečaju Ni blokiran;18074979;5;0
51287,9;OD 10.000,01 EUR DO 30.000,00 EUR;Zavod Suhi zid;71669647;1;1
39311,14;OD 5.000,01 EUR DO 10.000,00 EUR;ZASEBNI VRTEC ŽELVICA, MARIBOR Ni blokiran;95960694;2;0
33601,98;OD 300.000,01 EUR DO 500.000,00 EUR;SG Senekovič d.o.o. - V STEČAJU Ni blokiran;72745002;10;1
14610,15;OD 30.000,01 EUR DO 50.000,00 EUR;SMT d.o.o. Ni blokiran;25944223;3;0
14303,16;OD 5.000,01 EUR DO 10.000,00 EUR;A2B DERIVATI d.o.o. Ni blokiran;74429213;2;0
14000;OD 300.000,01 EUR DO 500.000,00 EUR;JAMI VLAD d.o.o. - v stečaju Ni blokiran;57633096;3;0
13332,68;OD 100.000,01 EUR DO 300.000,00 EUR;FONASIS, d.o.o.-v stečaju Ni blokiran;58223444;2;0
8824,81;OD 100.000,01 EUR DO 300.000,00 EUR;ALPINE BAU GMBH, Salzburg - Podružnica Celje - v stečaju Ni blokiran;27868125;4;0
8600;OD 10.000,01 EUR DO 30.000,00 EUR;MESGRAD d.o.o. - v stečaju Ni blokiran;44091966;3;0
8282,76;OD 500.000,01 EUR DO 1.000.000,00 EUR;MESTNA VRATA d.o.o. - v stečaju Ni blokiran;21672644;10;0
5376,36;OD 10.000,01 EUR DO 30.000,00 EUR;VUDI, d.o.o. Ni blokiran;98747177;4;1
4564,27;NI PREDLOŽIL DAVČNEGA OBRAČUNA;Kooperativa DAME, z.o.o., so.p. - v stečaju;74798634;3;0
4556,94;OD 100.000,01 EUR DO 300.000,00 EUR;KGZ KRPAN z.o.o. - v stečaju Ni blokiran;61841927;6;0
4452,99;OD 50.000,01 EUR DO 100.000,00 EUR;NPPM d.o.o. - v stečaju Ni blokiran;42527252;3;0
3800;OD 500.000,01 EUR DO 1.000.000,00 EUR;NGR d.d.- v stečaju Ni blokiran;30948479;2;0
3661,13;OD 1.000.000,01 EUR DO 10.000.000,00 EUR;NIVO, d.d. - v stečaju Ni blokiran;51510847;14;0
3608,86;OD 10.000,01 EUR DO 30.000,00 EUR;STREHA BOKAN d.o.o. Ni blokiran;76295354;3;1
3560,18;OD 30.000,01 EUR DO 50.000,00 EUR;JS REST d.o.o.;15966178;1;1
3382,62;OD 10.000,01 EUR DO 30.000,00 EUR;MEBLO HOLDING d.o.o. Nova Gorica - v stečaju Ni blokiran;54694043;4;0